CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2009,11,22042100,17,586,RS,7,910600,26844,26844,14740,2204
2009,12,22042100,17,23,RS,1,1017700,3060,5724,14137,2204
2009,11,22042100,17,586,SC,7,145300,5425,4434,7348,2204
2009,1,22041010,17,351,RS,1,817800,120,120,505,2204
2009,6,22042100,17,399,RS,1,817800,23,49,119,2204
2009,11,22041090,17,249,RS,1,1017700,4,3,8,2204
2009,11,22042100,17,770,SP,1,817800,2723,2723,6066,2204
2009,8,22042900,17,676,RS,1,1017700,1922500,1911670,544350,2204
2009,12,22041010,17,158,RS,7,1010900,1080,1080,6660,2204
2009,8,22041090,17,249,RS,0,717700,7074,5729,43372,2204
2009,12,22042100,17,386,RS,1,1017700,1080,1817,5251,2204
2009,7,22041090,17,249,RS,0,717700,1584,2376,17577,2204
2009,3,22042100,17,586,SC,7,145300,2784,2784,2113,2204
2009,10,22043000,17,586,PR,7,910651,990,11027,7930,2204
2009,10,22042100,17,573,SP,1,817800,7920,7920,12583,2204
2009,2,22042100,17,791,RS,1,1017700,3735,4896,23654,2204
2009,5,22041010,17,249,RS,0,717700,45,77,432,2204
2009,5,22042100,17,23,RS,1,1017700,9900,16654,36950,2204
2009,9,22042900,17,317,RS,1,1017700,9,20,20,2204
2009,7,22042100,17,23,RS,1,1017700,4590,4241,45063,2204
2009,10,22042100,17,249,RS,1,1017700,18331,75633,132024,2204
2009,10,22042100,17,149,RS,4,817600,1125,1125,26000,2204
2009,12,22042100,17,249,RS,1,1017700,30692,61047,119582,2204
2009,3,22042100,17,47,SP,1,817800,1575,1575,1925,2204
2009,7,22042100,17,149,PE,1,817800,2880,2880,12554,2204
2009,3,22042900,17,586,SC,7,145300,11245,12109,7110,2204
2009,11,22041090,17,40,RS,1,717600,90,145,667,2204
2009,12,22042100,17,351,RS,1,1017700,1011,1011,5814,2204
2009,7,22042900,17,580,RS,1,1017700,23,24,30,2204
2009,3,22041010,17,23,RS,1,1017700,1755,3198,12611,2204
2009,3,22041010,17,249,RS,0,717700,9,20,74,2204
2009,6,22042900,17,160,RS,1,1017700,575232,573696,172800,2204
2009,2,22042100,17,586,SC,7,145300,6336,2809,2018,2204
2009,2,22042100,17,47,SP,1,817800,1800,1800,2188,2204
2009,5,22043000,17,586,PR,9,910651,337,3683,2348,2204
2009,9,22042900,17,687,RS,1,1017700,23,55,100,2204
2009,9,22042100,17,40,SP,1,817800,100,1400,1635,2204
2009,7,22042100,17,858,RS,1,1017700,743,743,2143,2204
2009,12,22042100,17,586,SC,7,145300,6192,6192,3010,2204
2009,4,22041090,17,399,RS,4,817600,53,130,396,2204
2009,1,22042100,17,249,RS,0,717700,261,531,1612,2204
2009,7,22042900,17,676,RS,1,1017700,2231550,2216576,568665,2204
2009,10,22042100,17,399,RS,1,817800,225,496,2833,2204
2009,3,22042100,17,23,RS,1,1017700,14760,26384,69433,2204
2009,11,22042100,17,40,RS,1,717600,923,894,4118,2204
2009,4,22042100,17,249,PR,1,917800,840,7813,7114,2204
2009,12,22043000,17,586,PR,9,910651,20,360,306,2204
2009,2,22042100,17,63,ZN,4,817600,95,162,4523,2204
2009,12,22042911,17,97,RJ,9,250151,1439,1440,1872,2204
2009,12,22042100,17,586,RS,7,910600,61800,61800,25939,2204
2009,2,22041090,17,249,RS,0,717700,1530,2138,16821,2204
2009,5,22042900,17,97,MS,7,145200,200,920,506,2204
2009,5,22042900,17,676,RS,1,1017700,2927328,2909376,754800,2204
2009,5,22042100,17,87,RS,1,1017700,1418,1435,5124,2204
2009,11,22042919,17,676,RS,1,1017700,414000,412344,111780,2204
2009,1,22043000,17,586,PR,9,910651,453,5290,3029,2204
2009,8,22042900,17,586,PR,7,145300,1840,3065,2828,2204
2009,6,22042100,17,249,RS,1,1017700,6300,11718,23051,2204
2009,12,22042100,17,47,SP,1,817800,2160,2160,3125,2204
2009,8,22042900,17,249,RS,1,1017700,13072,12343,16038,2204
2009,1,22042100,17,586,SC,7,145300,100,976,1012,2204
2009,12,22042100,17,87,RS,1,1017700,1890,1905,9348,2204
2009,12,22042100,17,249,RS,0,717700,986,2014,6736,2204
2009,10,22042100,17,445,RS,1,817800,1620,1620,14250,2204
2009,4,22042900,17,676,RS,1,1017700,792000,787745,211200,2204
2009,1,22042100,17,764,RS,1,1017700,4500,8570,16200,2204
2009,4,22043000,17,586,PR,9,910651,441,4743,2758,2204
2009,7,22043000,17,399,RS,1,1017700,11880,11880,19540,2204
2009,8,22043000,17,586,PR,7,910651,229,2147,1579,2204
2009,6,22042900,17,586,PR,7,145300,11385,14064,16389,2204
2009,5,22041090,17,249,RS,0,717700,840,1260,9660,2204
2009,5,22042100,17,445,RS,1,817800,2667,2667,13504,2204
2009,2,22042100,17,40,SP,1,817800,518,9800,9796,2204
2009,5,22042100,17,767,SC,1,920600,990,743,914,2204
2009,7,22041090,17,40,SP,1,817800,60,817,957,2204
2009,12,22042911,17,97,RS,9,250151,197,181,340,2204
2009,3,22042900,17,87,RS,1,1017700,120000,119900,36000,2204
2009,8,22042100,17,586,RS,7,145300,168,1207,3227,2204
2009,7,22042900,17,586,PR,7,145300,7544,7687,7135,2204
2009,12,22041010,17,249,RS,0,717700,248,518,2069,2204
2009,7,22042100,17,249,RS,0,717700,59,59,639,2204
2009,6,22042100,17,770,RS,1,817800,1103,1107,6852,2204
2009,7,22041010,17,249,RS,0,717700,9,9,77,2204
2009,12,22042100,17,160,RS,1,1017700,240000,239800,86400,2204
2009,8,22042100,17,40,RS,1,817800,200,900,2285,2204
2009,6,22042100,17,586,SC,7,145300,5610,5610,4690,2204
2009,10,22042900,17,331,MG,1,817800,156,169,272,2204
2009,9,22042900,17,676,RS,1,1017700,3838000,3812236,997800,2204
