CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2008,7,22042900,17,586,PR,7,145300,9292,10619,11724,2204
2008,3,22042100,17,586,RS,7,910600,25005,25005,21159,2204
2008,3,22042900,17,249,SP,1,817800,3200,2074,2000,2204
2008,8,22042100,17,40,PE,1,817800,900,594,3667,2204
2008,4,22042900,17,399,RS,1,1017700,26600,26600,13174,2204
2008,1,22042100,17,767,RS,1,1017700,7380,14863,50531,2204
2008,6,22042100,17,586,SP,7,145300,20,150,180,2204
2008,1,22042100,17,249,RS,0,717700,432,868,2118,2204
2008,8,22042100,17,580,SP,1,817800,522,522,809,2204
2008,11,22042100,17,247,RS,1,817800,585,585,16063,2204
2008,11,22041010,17,628,RS,1,1017700,7560,16632,59472,2204
2008,10,22042100,17,586,RS,7,910600,373560,373560,186309,2204
2008,5,22042100,17,40,PE,1,817800,105,1024,3509,2204
2008,2,22042100,17,249,RS,0,717700,257,520,1534,2204
2008,12,22042100,17,23,RS,1,1017700,2592,2592,9711,2204
2008,12,22042100,17,573,RS,1,1017700,18900,34222,101959,2204
2008,6,22042100,17,249,RS,1,1017700,14580,31828,70098,2204
2008,8,22042900,17,586,PR,7,145300,1100,5182,5731,2204
2008,11,22042100,17,23,RS,1,517600,5040,10155,16125,2204
2008,7,22042100,17,586,PR,7,145300,18540,18998,22822,2204
2008,5,22042100,17,603,RS,1,1017700,7083,11279,29891,2204
2008,10,22042100,17,331,SP,1,817800,410,458,1273,2204
2008,10,22043000,17,331,SP,1,817800,400,280,1164,2204
2008,12,22041090,17,603,RS,1,1017700,765,1302,3756,2204
2008,11,22042900,17,586,SC,7,145300,10965,12847,8316,2204
2008,1,22041010,17,767,RS,1,1017700,1575,3465,10710,2204
2008,12,22041010,17,245,RS,1,1017700,450,990,3090,2204
2008,9,22042100,17,23,SP,1,817800,5,84,604,2204
2008,7,22042100,17,69,RS,1,1017700,2781,4000,27639,2204
2008,6,22041090,17,249,RS,0,717700,3471,2948,16740,2204
2008,7,22042900,17,580,RS,1,1017700,4,18,80,2204
2008,7,22043000,17,586,PR,9,910651,985,10585,7907,2204
2008,6,22042900,17,445,RS,1,1017700,67,67,368,2204
2008,5,22042100,17,47,RS,1,817800,1513,1513,2520,2204
2008,10,22041010,17,331,SP,1,817800,2,2,416,2204
2008,3,22042100,17,586,SC,7,145300,3429,3899,4556,2204
2008,12,22042900,17,586,SC,7,145300,16818,20381,12983,2204
2008,4,22041090,17,249,RS,0,717700,2385,2030,16523,2204
2008,3,22041090,17,40,PE,1,817800,20,176,781,2204
2008,12,22042900,17,399,RS,1,1017700,400,400,445,2204
2008,7,22042900,17,586,SC,7,145300,10635,10635,5535,2204
2008,4,22042100,17,249,RS,0,717700,419,911,3046,2204
2008,8,22041010,17,249,ZN,4,817700,4,18,84,2204
2008,10,22041090,17,249,RS,0,717700,75,338,2363,2204
2008,10,22041010,17,249,RS,1,1017700,2115,2320,7062,2204
2008,5,22041090,17,40,PE,1,817800,60,609,2364,2204
2008,10,22042100,17,190,RS,1,1017700,326,721,2961,2204
2008,2,22042100,17,586,SC,9,145300,950,950,1082,2204
2008,10,22041010,17,97,SP,6,145200,70,316,1103,2204
2008,2,22042900,17,445,RS,1,1017700,135,135,412,2204
2008,12,22042100,17,586,SC,7,145300,756,756,602,2204
2008,12,22041010,17,586,RS,7,910600,1485,1485,3318,2204
2008,12,22042100,17,249,RS,1,1017700,2215,18095,30578,2204
2008,7,22042100,17,586,SP,7,910600,522,522,721,2204
2008,7,22043000,17,97,SP,7,145200,261,370,437,2204
2008,1,22042100,17,573,RS,1,1017700,27000,48712,102024,2204
2008,12,22042100,17,445,RS,1,1017700,1333,2488,6435,2204
2008,11,22042100,17,23,RS,1,1017700,1800,4308,15387,2204
2008,3,22042100,17,676,RS,1,1017700,115200,115200,91776,2204
2008,11,22042100,17,399,RS,4,817600,45,85,236,2204
2008,12,22041090,17,249,RS,0,717700,3540,4271,32437,2204
2008,9,22042100,17,249,RS,1,1017700,1785,15540,23153,2204
2008,11,22042100,17,586,RS,7,910600,318300,318300,160260,2204
2008,9,22041010,17,23,RS,1,1017700,1215,1539,6655,2204
2008,8,22042900,17,586,SC,7,145300,9530,10648,5357,2204
2008,6,22042100,17,586,PR,7,145300,9308,67079,78437,2204
2008,6,22042100,17,275,RS,1,1017700,900,1628,5550,2204
2008,9,22042100,17,586,RS,7,910600,371400,371400,185700,2204
2008,12,22042100,17,586,ZN,4,817600,276,350,3162,2204
2008,3,22042100,17,23,RS,1,1017700,414,414,2242,2204
2008,11,22042100,17,741,RS,1,1017700,360,360,2211,2204
2008,11,22041010,17,399,RS,4,817600,50,109,264,2204
2008,3,22042100,17,149,PE,1,417800,3600,3600,10294,2204
2008,7,22042100,17,249,SP,1,817800,9072,9215,6048,2204
2008,10,22042100,17,47,SP,1,817800,9765,9765,12669,2204
2008,2,22042100,17,23,RS,1,1017700,9810,18700,45696,2204
2008,6,22042100,17,586,SC,9,145300,270,370,1498,2204
2008,8,22042100,17,249,ZN,4,817700,8,54,170,2204
2008,4,22042100,17,249,RS,1,1017700,1050,9450,15013,2204
2008,4,22042100,17,23,SP,1,817800,50,408,3088,2204
2008,6,22042100,17,87,RS,1,1017700,891,1008,6037,2204
2008,8,22042100,17,351,RS,1,1017700,1080,1080,6426,2204
2008,11,22041090,17,741,RS,1,1017700,23,23,198,2204
2008,8,22043000,17,399,RS,1,1017700,1980,1980,3598,2204
2008,8,22042100,17,676,RS,1,1017700,36000,36000,30000,2204
2008,10,22042100,17,249,RS,1,1017700,28823,65123,123922,2204
2008,5,22042900,17,573,RS,1,1017700,4050,4050,11263,2204
2008,10,22041010,17,97,SP,7,145200,270,271,945,2204
2008,5,22041090,17,628,SP,1,817800,68,149,424,2204
2008,10,22042100,17,767,RS,1,1017700,1238,2157,6680,2204
2008,3,22042900,17,586,SC,7,145300,1560,1560,1483,2204
2008,12,22042900,17,676,RS,1,1017700,801500,796079,208775,2204
2008,6,22042900,17,249,RS,1,1017700,8640,8640,9034,2204
2008,6,22042100,17,586,RS,7,910600,3150,3150,5460,2204
2008,6,22042100,17,767,RS,1,1017700,11250,30619,130400,2204
2008,8,22042100,17,770,SP,1,817800,900,900,1625,2204
2008,11,22043000,17,586,PR,9,910651,901,6310,4130,2204
2008,11,22041010,17,351,RS,1,1017700,810,810,4054,2204
2008,11,22042100,17,351,RS,1,1017700,1350,1350,7034,2204
2008,6,22041010,17,445,RS,1,1017700,9,9,79,2204
2008,9,22042100,17,445,RS,1,1017700,1260,1260,5732,2204
2008,3,22043000,17,586,PR,9,910651,525,5529,3900,2204
2008,9,22042100,17,767,RS,1,1017700,2295,5033,22266,2204
2008,10,22042900,17,580,RS,1,1017700,9,9,90,2204
2008,2,22041090,17,40,PE,1,817800,53,598,2140,2204
2008,10,22042100,17,791,RS,1,1017700,4193,6759,20325,2204
2008,2,22042900,17,97,PR,9,145200,133,301,1135,2204
2008,2,22042900,17,23,RS,1,1017700,135,323,2269,2204
2008,10,22042100,17,676,RS,1,1017700,72000,72000,60000,2204
2008,12,22042100,17,40,SP,1,817800,3600,3600,6700,2204
2008,6,22042900,17,97,PR,9,145200,35,318,849,2204
2008,9,22042100,17,573,RS,1,1017700,35793,58865,97412,2204
2008,8,22042100,17,40,PE,1,417800,10742,10742,33108,2204
2008,8,22042100,17,573,RS,1,1017700,75240,143721,387108,2204
2008,11,22041010,17,741,RS,1,1017700,158,158,1369,2204
2008,4,22042100,17,628,RS,1,1017700,17550,30030,36563,2204
2008,11,22042100,17,331,MG,1,817800,6,90,144,2204
2008,8,22042900,17,586,SC,9,145300,75,338,342,2204
2008,9,22042900,17,676,RS,1,1017700,1989151,1982042,644400,2204
2008,2,22042100,17,586,SC,7,145300,240,658,815,2204
2008,5,22042100,17,249,RS,1,1017700,11382,28490,50820,2204
2008,2,22042100,17,586,PR,7,145300,2040,12873,12586,2204
2008,6,22041010,17,249,RS,1,1017700,1080,4738,7898,2204
2008,2,22042100,17,586,RS,7,910600,123399,123399,101232,2204
2008,10,22042100,17,628,RS,1,1017700,13860,24360,31832,2204
2008,2,22042100,17,676,RS,1,1017700,18000,18000,11700,2204
2008,10,22042100,17,275,RS,1,1017700,9450,9450,21950,2204
2008,11,22042100,17,249,RS,1,1017700,18507,44287,79094,2204
2008,12,22043000,17,586,PR,9,910651,1516,13418,7393,2204
2008,12,22042100,17,586,RS,7,910600,100470,100470,52109,2204
2008,12,22042100,17,764,RS,1,1017700,11250,11250,52500,2204
2008,3,22042100,17,40,PE,1,817800,205,1579,6998,2204
2008,8,22041010,17,23,RS,1,817800,202,202,1361,2204
2008,1,22042100,17,586,RS,7,910600,14100,14100,9066,2204
2008,9,22041010,17,586,RS,7,910600,3152,3152,4770,2204
2008,4,22042100,17,160,RS,1,1017700,8739,8689,25926,2204
2008,8,22041090,17,399,RS,1,1017700,135,135,504,2204
2008,5,22042900,17,586,SC,9,145300,500,2250,1408,2204
2008,2,22042100,17,245,SP,4,817600,10,17,9,2204
2008,6,22043000,17,586,PR,9,910651,1048,7935,5954,2204
2008,4,22042100,17,399,RS,1,1017700,3285,3285,4911,2204
2008,10,22042100,17,249,RS,0,717700,446,874,3257,2204
2008,10,22041010,17,190,RS,1,1017700,113,248,840,2204
2008,10,22041090,17,190,RS,1,1017700,45,99,183,2204
2008,2,22041090,17,23,RS,1,1017700,540,1184,2088,2204
