CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
800;768;TGO;Togo;Togo;Togo;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
805;772;TKL;Toquelau;Tokelau;Tokelau;61;Oceania;Oceania;Oceania
810;776;TON;Tonga;Tonga;Tonga;61;Oceania;Oceania;Oceania
815;780;TTO;Trinidad e Tobago;Trinidad and Tobago;Trinidad y Tobago;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
820;788;TUN;Tunísia;Tunisia;Túnez;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
823;796;TCA;Turcas e Caicos, Ilhas;Turks and Caicos, Islands;Turcas y Caicos, Islas;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
824;795;TKM;Turcomenistão;Turkmenistan;Turkmenistán;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
827;792;TUR;Turquia;Turkey;Turquía;112;Europa;Europe;Europa
828;798;TUV;Tuvalu;Tuvalu;Tuvalu;61;Oceania;Oceania;Oceania
831;804;UKR;Ucrânia;Ukraine;Ucrania;112;Europa;Europe;Europa
833;800;UGA;Uganda;Uganda;Uganda;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
