CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
177;178;COG;Congo;Congo;Congo;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
183;184;COK;Cook, Ilhas;Cook Islands;Cook, Islas;61;Oceania;Oceania;Oceania
187;408;PRK;Coreia do Norte;North Korea;Corea (Norte);39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
190;410;KOR;Coreia do Sul;South Korea;Corea (Sur);39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
193;384;CIV;Costa do Marfim;Cote D'Ivore;Costa de Marfil;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
195;191;HRV;Croácia;Croatia;Croacia;112;Europa;Europe;Europa
196;188;CRI;Costa Rica;Costa Rica;Costa Rica;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
198;414;KWT;Coveite (Kuweit);Kuwait;Kuwait;41;Oriente Médio;Middle East;Oriente Medio
199;192;CUB;Cuba;Cuba;Cuba;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
200;531;CUW;Curaçao;Curaçao;Curazao;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
229;204;BEN;Benin;Benin;Benin;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
232;208;DNK;Dinamarca;Denmark;Dinamarca;112;Europa;Europe;Europa
235;212;DMA;Dominica;Dominica Island;Dominica;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
237;784;ARE;Dubai;Dubai;Dubai;41;Oriente Médio;Middle East;Oriente Medio
239;218;ECU;Equador;Ecuador;Ecuador;48;América do Sul;South America;América del Sur
240;818;EGY;Egito;Egypt;Egipto;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
243;232;ERI;Eritreia;Eritrea;Eritrea;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
