CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2011,6,22041010,17,538,RS,1,1017700,227,228,2061,2204
2011,7,22042100,17,249,RS,1,1017700,3318,11718,21274,2204
2011,6,22041090,17,538,RS,1,1017700,536,536,4250,2204
2011,1,22041010,17,586,RS,7,910600,113,113,399,2204
2011,11,22042100,17,87,RS,1,817800,2525,2563,18083,2204
2011,7,22041010,17,586,RS,7,145300,30,135,560,2204
2011,7,22042911,17,97,RJ,9,250151,540,540,909,2204
2011,10,22042100,17,47,SP,1,817800,1980,1980,2750,2204
2011,3,22041010,17,160,RS,4,817600,180,323,1608,2204
2011,9,22042100,17,160,RS,1,1017700,6660,6660,41268,2204
2011,9,22042100,17,548,RS,1,1017700,213,1724,4895,2204
2011,2,22042100,17,628,RS,1,1017700,5940,9504,20038,2204
2011,12,22042100,17,351,RS,1,1017700,315,543,2220,2204
2011,2,22041010,17,149,RS,1,817800,225,494,1400,2204
2011,12,22041010,17,528,RS,1,817800,20,108,506,2204
2011,10,22042100,17,573,RS,1,1017700,4140,8106,22412,2204
2011,7,22042100,17,845,SC,7,1015500,270,270,1040,2204
2011,1,22042100,17,573,RS,1,817800,1778,1754,9045,2204
2011,6,22042100,17,160,SP,1,817800,450,450,713,2204
2011,4,22042100,17,271,RS,1,1017700,9698,12404,50394,2204
2011,9,22042100,17,47,SP,1,817800,1530,1530,2125,2204
2011,3,22042911,17,586,SC,7,145300,7710,7710,4895,2204
2011,11,22042100,17,160,RS,1,1017700,360,269,1824,2204
2011,3,22042100,17,586,RS,7,910600,900,900,1560,2204
2011,2,22042100,17,331,MG,1,817800,180,180,441,2204
2011,7,22042911,17,586,SC,7,145300,12490,12490,8420,2204
2011,12,22041010,17,249,RS,0,717700,1638,3467,12407,2204
2011,12,22042911,17,586,PR,9,910651,72,72,96,2204
2011,5,22042919,17,97,RJ,9,250151,81,81,145,2204
2011,5,22042100,17,586,SC,7,145300,1055,1055,1402,2204
2011,5,22042100,17,628,RS,1,1017700,11880,19193,40075,2204
2011,5,22042100,17,160,RS,1,817800,891,891,3396,2204
2011,6,22042100,17,149,RS,1,817800,1666,4193,12196,2204
2011,6,22042100,17,445,RS,1,1017700,3875,3875,29257,2204
2011,7,22041010,17,149,RS,1,1017700,540,1188,4824,2204
2011,7,22042911,17,97,SP,9,250151,9,9,33,2204
2011,11,22042100,17,232,RS,1,1017700,6930,13828,31917,2204
2011,3,22042100,17,538,RS,1,1017700,1656,3415,13772,2204
2011,6,22042911,17,249,RS,1,1017700,10320,21330,79448,2204
2011,9,22042911,17,586,RS,7,910600,1800,1800,3675,2204
2011,11,22041010,17,249,RS,0,717700,6120,12683,43412,2204
2011,1,22042100,17,845,SC,7,1015500,270,270,933,2204
2011,11,22042911,17,97,SC,7,250151,1200,1200,1830,2204
2011,2,22041090,17,40,RE,9,717700,26,184,988,2204
2011,8,22041010,17,40,RE,9,717700,41,119,1659,2204
2011,5,22042100,17,161,RS,1,1017700,4500,4500,10600,2204
2011,12,22042100,17,69,RS,1,1017700,2475,2475,25896,2204
2011,5,22042100,17,127,SP,1,817800,600,600,825,2204
2011,6,22042911,17,586,SC,7,145300,7106,7106,5675,2204
2011,9,22041010,17,249,RS,0,717700,4806,9950,34148,2204
2011,6,22042100,17,23,BA,1,517600,4500,8370,16959,2204
2011,4,22041010,17,149,RS,4,817600,18,79,322,2204
2011,11,22042911,17,586,PR,9,910651,108,108,151,2204
2011,3,22043000,17,169,RS,1,1017700,7238,68973,163092,2204
2011,7,22042100,17,399,RS,1,1017700,6975,6975,14745,2204
2011,10,22041010,17,399,RS,1,1017700,113,429,1615,2204
2011,3,22041090,17,160,RS,1,1017700,90,197,460,2204
2011,10,22041090,17,586,PR,7,145300,12,104,319,2204
2011,4,22042100,17,586,SC,7,145300,680,680,509,2204
2011,7,22041090,17,586,RS,7,145300,50,225,1000,2204
2011,8,22042100,17,149,RS,1,817800,2669,3169,13964,2204
2011,8,22042100,17,628,RS,1,1017700,10440,17766,44038,2204
2011,8,22042100,17,586,SP,7,910600,2250,2250,3761,2204
2011,7,22042911,17,586,PR,9,910651,90,90,101,2204
2011,7,22042100,17,249,ZN,4,817800,336,3024,4183,2204
2011,3,22042100,17,249,SP,4,817600,2,4,175,2204
2011,9,22042100,17,628,RS,1,1017700,5940,9596,20038,2204
2011,2,22041010,17,573,RS,1,1017700,990,2171,6490,2204
2011,8,22042919,17,97,RJ,9,250151,92,92,142,2204
2011,12,22041090,17,149,RS,1,1017700,50,133,1170,2204
2011,12,22042100,17,845,SC,7,1015500,261,261,896,2204
2011,6,22042100,17,249,RS,1,1017700,9546,26184,109652,2204
2011,6,22042100,17,244,RS,1,1017700,1175,2120,6594,2204
2011,10,22042919,17,160,RS,1,1017700,306,149,1311,2204
2011,10,22042100,17,160,RS,1,1017700,11835,11950,69329,2204
2011,11,22042100,17,87,RS,1,1017700,6880,3913,14494,2204
2011,7,22042100,17,149,RS,1,1017700,3294,5999,16676,2204
2011,11,22041010,17,23,RS,1,1017700,216,354,3186,2204
2011,10,22043000,17,169,RS,1,927700,7238,68973,163092,2204
2011,10,22042100,17,40,RE,9,717700,15,15,111,2204
2011,2,22042100,17,573,RS,1,1017700,5040,10158,26544,2204
2011,12,22042100,17,331,MG,1,817800,288,584,1040,2204
2011,5,22042911,17,97,RJ,9,250151,164,164,291,2204
2011,3,22042100,17,791,RS,1,1017700,4055,5098,23577,2204
2011,10,22042100,17,87,RS,1,817800,1512,2772,16576,2204
2011,11,22042100,17,770,SP,1,817800,2250,3605,3467,2204
2011,10,22042100,17,23,RS,1,1017700,1680,950,4987,2204
2011,9,22041010,17,169,RS,4,817700,90,90,1068,2204
2011,9,22041010,17,445,RS,1,1017700,180,120,768,2204
2011,6,22042911,17,586,RS,7,910600,600,600,1225,2204
2011,11,22042100,17,586,RS,9,145300,450,382,1272,2204
2011,10,22041010,17,249,RS,0,717700,4834,10069,35432,2204
2011,9,22042911,17,586,SC,7,145300,3990,3990,2530,2204
2011,1,22042100,17,97,ZN,4,145200,36,36,88,2204
2011,11,22041010,17,160,RS,1,1017700,212,330,2235,2204
2011,11,22041090,17,160,RS,1,1017700,329,301,2037,2204
2011,12,22042100,17,149,RS,1,817800,1548,1889,16255,2204
2011,12,22041010,17,573,RS,1,1017700,990,2325,6490,2204
2011,8,22042100,17,23,RS,1,1017700,11520,9060,45526,2204
2011,12,22043000,17,528,RS,1,817800,10,54,216,2204
2011,12,22042100,17,573,RS,1,1017700,5040,9375,26166,2204
2011,5,22042919,17,160,RS,1,1017700,2,12,170,2204
2011,9,22042100,17,764,RS,1,1017700,585,1101,4411,2204
2011,6,22042100,17,386,RS,1,817800,945,2185,10427,2204
2011,6,22042911,17,586,PR,9,910651,90,90,100,2204
2011,11,22042919,17,23,RS,1,1017700,18,26,272,2204
2011,1,22042100,17,97,SP,9,250151,36,24,129,2204
2011,3,22042100,17,628,RS,1,1017700,17820,28942,67841,2204
2011,11,22042911,17,97,SP,9,250151,18,18,64,2204
2011,4,22041010,17,445,RS,1,1017700,351,351,2105,2204
2011,5,22042100,17,249,RS,1,1017700,1661,19104,57450,2204
2011,3,22041010,17,160,RS,1,1017700,180,368,919,2204
2011,10,22042100,17,764,RS,1,1017700,540,540,10065,2204
2011,3,22041090,17,249,RS,0,717700,3256,3708,26582,2204
2011,6,22042100,17,375,RS,1,1017700,1215,1215,14618,2204
2011,8,22042100,17,47,SP,1,817800,1215,1215,1688,2204
2011,4,22042911,17,97,RJ,9,250151,548,548,880,2204
2011,5,22042100,17,770,RJ,1,817800,12,113,207,2204
2011,8,22042911,17,586,RS,7,910600,1800,1800,3675,2204
2011,5,22042100,17,351,RS,1,817800,702,1378,4843,2204
2011,6,22041090,17,23,RS,1,1017700,225,205,1118,2204
2011,6,22042100,17,23,RS,1,1017700,3960,4155,21108,2204
2011,3,22042919,17,23,RS,1,1017700,120,660,1927,2204
2011,3,22042100,17,160,RS,4,817600,135,396,2034,2204
2011,7,22042100,17,375,RS,1,1017700,2741,4161,21072,2204
2011,7,22042911,17,97,PR,9,250151,92,92,146,2204
2011,3,22041010,17,538,RS,1,1017700,320,614,2787,2204
2011,4,22042100,17,445,RS,1,1017700,797,797,4634,2204
2011,2,22043000,17,399,RS,1,1017700,792,792,1543,2204
2011,5,22042919,17,351,RS,1,817800,12,18,150,2204
2011,12,22042100,17,888,SP,1,817800,360,360,570,2204
2011,5,22042911,17,586,SP,7,910600,1350,1350,2295,2204
2011,5,22042100,17,586,PR,7,910600,21897,23674,25430,2204
2011,6,22042919,17,607,RJ,4,717700,32,95,1031,2204
2011,9,22042911,17,97,RJ,9,250151,368,368,566,2204
2011,11,22042100,17,40,RE,9,717700,4,4,35,2204
2011,4,22042100,17,249,RS,1,1017700,3024,3024,6242,2204
2011,4,22041010,17,548,RS,1,1017700,3,23,99,2204
2011,11,22042100,17,40,ND,4,717700,60,60,1107,2204
2011,9,22042100,17,40,MN,1,817800,570,570,4966,2204
2011,10,22041090,17,375,RS,1,817800,90,90,378,2204
2011,9,22041010,17,548,RS,1,1017700,29,218,1205,2204
2011,4,22042100,17,573,RS,1,1017700,6930,13128,36498,2204
2011,12,22042100,17,249,RS,1,1017700,15436,23747,76218,2204
2011,8,22042100,17,586,MG,9,145300,55,127,1726,2204
2011,8,22041010,17,628,RS,1,1017700,900,1980,8040,2204
2011,10,22041010,17,249,RS,1,1017700,1422,1422,6510,2204
2011,1,22042100,17,149,RS,1,817800,2700,5442,16191,2204
2011,6,22041010,17,40,RE,9,717700,15,33,616,2204
2011,7,22042100,17,586,RS,7,145300,160,720,2115,2204
2011,9,22041010,17,586,RS,7,910600,99,99,343,2204
2011,9,22042100,17,445,RS,1,1017700,3240,3192,24693,2204
2011,7,22042100,17,249,SP,1,817800,2016,2016,1454,2204
2011,7,22042100,17,586,PR,7,910600,15898,16385,18536,2204
2011,5,22041010,17,249,RS,1,1017700,540,540,3577,2204
2011,2,22042100,17,47,SP,1,817800,1080,1080,1500,2204
2011,12,22041090,17,249,RS,1,1017700,265,1030,6141,2204
2011,5,22041010,17,249,RS,0,717700,8618,11025,88504,2204
2011,6,22041010,17,375,RS,1,1017700,1260,450,4698,2204
2011,3,22042911,17,586,PR,7,910600,5399,5184,6078,2204
2011,10,22041090,17,249,RS,1,1017700,2655,2655,10419,2204
2011,10,22041010,17,375,RS,1,817800,450,450,2109,2204
2011,3,22041010,17,77,RS,0,717700,234,461,2210,2204
2011,11,22041010,17,538,RS,1,1017700,666,736,6387,2204
2011,9,22042100,17,40,SP,1,817800,3136,3136,9371,2204
2011,11,22042100,17,87,RS,4,817700,125,568,3577,2204
2011,3,22042911,17,586,PR,9,910651,90,90,96,2204
2011,12,22041010,17,586,RS,7,910600,1436,1436,4545,2204
2011,12,22041090,17,345,RS,1,1017700,18,19,80,2204
2011,9,22041090,17,548,RS,1,1017700,10,50,302,2204
2011,12,22041010,17,351,RS,1,1017700,141,295,1206,2204
2011,10,22042100,17,249,RS,1,1017700,18074,73703,351656,2204
2011,7,22042100,17,628,RS,1,1017700,5940,10784,20038,2204
2011,7,22042100,17,573,RS,1,817800,1305,1230,6568,2204
2011,1,22041010,17,573,RS,1,817800,23,56,288,2204
2011,10,22041010,17,791,RS,1,1017700,311,388,1541,2204
2011,8,22042100,17,573,RS,1,1017700,11880,25265,98050,2204
2011,12,22042100,17,160,RS,1,1017700,14000,7895,108612,2204
2011,5,22042100,17,845,SC,7,1015500,180,180,685,2204
2011,5,22041090,17,40,RE,9,717700,89,52,3174,2204
2011,5,22042100,17,741,RS,1,1017700,468,911,3317,2204
2011,7,22043000,17,399,RS,1,1017700,792,792,1592,2204
2011,5,22042100,17,160,RS,1,1017700,6210,6210,32732,2204
2011,4,22041090,17,249,RS,0,717700,1035,2070,15330,2204
2011,6,22042100,17,586,SC,7,145300,2728,2728,2780,2204
2011,7,22042911,17,399,RS,1,1017700,2400,2400,4110,2204
2011,11,22042100,17,538,RS,1,1017700,2151,1992,17280,2204
2011,9,22042100,17,573,RS,1,1017700,19350,30504,90900,2204
2011,12,22042100,17,245,RS,1,1017700,4320,5206,24618,2204
2011,5,22042100,17,77,RS,0,717700,540,540,6102,2204
2011,10,22042100,17,791,RS,1,1017700,1533,1748,13694,2204
2011,5,22042100,17,586,RS,7,910600,1350,1350,2340,2204
2011,10,22042911,17,586,PR,7,145300,100,866,797,2204
2011,9,22042100,17,586,SC,7,145300,480,480,378,2204
2011,7,22041010,17,249,RS,1,1017700,2079,2079,9604,2204
2011,3,22041090,17,538,RS,1,1017700,180,395,1424,2204
2011,6,22041090,17,538,BA,1,817800,540,1184,4443,2204
2011,7,22042100,17,586,SP,7,910600,2250,2250,4277,2204
2011,10,22042911,17,586,SC,7,145300,1270,1270,922,2204
2011,10,22042100,17,586,PR,7,145300,1504,13033,21650,2204
2011,8,22042100,17,40,RE,9,717700,8,5,76,2204
2011,11,22041010,17,586,RS,7,910600,342,342,1149,2204
2011,12,22042911,17,97,RJ,9,250151,7089,7089,10624,2204
2011,12,22042100,17,586,SC,7,145300,1980,1980,2085,2204
2011,8,22041010,17,77,RS,0,717700,540,540,4824,2204
2011,5,22042911,17,97,SP,9,250151,180,180,603,2204
2011,5,22042100,17,199,SP,1,817800,2880,2880,4899,2204
2011,11,22042100,17,586,RS,7,910600,1800,1800,3720,2204
2011,1,22042100,17,628,RS,1,1017700,5940,9504,20038,2204
2011,11,22042100,17,249,RS,1,1017700,8610,17010,40341,2204
2011,4,22042100,17,628,RS,1,1017700,11313,17340,53536,2204
