CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2018,1,22041010,17,741,RS,1,1017700,21060,47151,135412,2204
2018,9,22041010,17,249,PE,4,417901,5,5,52,2204
2018,9,22042100,17,158,RJ,4,717700,69,69,190,2204
2018,11,22041090,17,628,PR,1,917800,6,5,17,2204
2018,9,22041090,17,63,SP,4,817600,461,427,808,2204
2018,9,22042100,17,741,RS,1,817800,1080,1080,3240,2204
2018,1,22042100,17,97,PR,9,250151,180,180,561,2204
2018,9,22041010,17,607,RE,9,617700,147,147,261,2204
2018,9,22042100,17,23,SP,4,817600,262,325,1046,2204
2018,11,22042100,17,301,MA,0,320151,1,1,2,2204
2018,11,22042100,17,607,SP,4,817700,1885,1431,6440,2204
2018,11,22041090,17,676,RS,1,1017700,48000,47764,18240,2204
2018,11,22042100,17,267,RS,1,1017700,24,24,50,2204
2018,11,22041010,17,249,SP,4,817700,240,183,3745,2204
2018,10,22042100,17,607,SP,4,817700,1646,1260,6122,2204
2018,10,22042100,17,434,SC,1,927800,27,27,105,2204
2018,12,22042100,17,467,RJ,1,717800,7,5,34,2204
2018,10,22041010,17,249,SP,4,817600,171,171,1796,2204
2018,3,22042100,17,628,RS,1,1017700,4995,4995,20778,2204
2018,11,22041090,17,249,PE,4,417901,69,52,100,2204
2018,11,22041010,17,158,SP,4,817600,318,500,4663,2204
2018,6,22042100,17,586,PR,7,147800,16920,17561,24994,2204
2018,1,22042100,17,586,SC,9,917501,225,225,349,2204
2018,9,22042100,17,493,SP,4,817600,261,308,993,2204
2018,5,22041010,17,275,RS,1,817800,495,495,2332,2204
2018,7,22041010,17,158,RS,7,1017500,1179,1222,4027,2204
2018,11,22041090,17,249,PA,4,217801,24,18,23,2204
2018,8,22041090,17,23,SP,4,817600,8,16,47,2204
2018,11,22042100,17,77,RS,1,1017700,2,2,8,2204
2018,9,22042100,17,607,RE,4,817700,597,450,2166,2204
2018,11,22042100,17,160,MA,0,320151,26,26,52,2204
2018,8,22041010,17,249,MG,4,617700,22,17,344,2204
2018,10,22042211,17,580,ES,9,727600,1,0,15,2204
2018,12,22042100,17,301,SP,1,817800,42,42,138,2204
2018,10,22041090,17,158,RS,7,1017500,1404,1428,4365,2204
2018,12,22042100,17,538,SP,1,817800,45,8,430,2204
2018,12,22042100,17,586,RS,7,917500,192458,192458,303337,2204
2018,12,22042100,17,580,ES,1,727600,243,245,626,2204
2018,12,22042211,17,351,ES,1,727600,13,11,249,2204
2018,12,22041090,17,538,SP,1,812051,47,47,220,2204
2018,12,22042100,17,249,RS,4,817600,294,294,2710,2204
2018,1,22042100,17,628,RS,1,1017700,11655,11655,37830,2204
2018,2,22042100,17,586,PR,7,147800,10338,252,20197,2204
2018,5,22042100,17,341,RS,1,1017700,15900,15900,28885,2204
2018,7,22042100,17,249,RS,1,1017700,5517,5517,13020,2204
2018,11,22041010,17,628,RS,1,817800,1782,1758,6257,2204
2018,3,22041010,17,97,RS,9,250151,45,45,1083,2204
2018,2,22042100,17,97,RS,7,147600,16080,16080,28720,2204
2018,2,22041010,17,351,RS,1,817800,225,225,1704,2204
2018,8,22042100,17,249,PE,4,417901,120,142,496,2204
2018,10,22042100,17,538,PE,9,417902,24,2,106,2204
2018,8,22041010,17,399,RS,1,1017700,3780,3780,15773,2204
2018,10,22042100,17,245,SP,4,817600,1027,1589,5453,2204
2018,12,22042100,17,160,RJ,1,717800,1,0,4,2204
2018,12,22042100,17,399,ES,1,727600,120,126,322,2204
2018,10,22041090,17,399,RS,1,1017700,624,628,3827,2204
2018,8,22042100,17,589,SP,4,817600,977,1201,4157,2204
2018,12,22041090,17,149,RS,4,817600,90,90,284,2204
2018,12,22042100,17,580,PR,1,917800,36,92,240,2204
2018,2,22042100,17,97,SP,7,147600,1800,1800,2800,2204
2018,9,22041010,17,158,SP,4,817600,39,39,398,2204
2018,1,22041010,17,23,RS,1,1017700,1800,1800,9877,2204
2018,7,22042100,17,586,RS,7,147800,115275,115275,175433,2204
2018,11,22042100,17,476,BA,1,517800,24,91,79,2204
2018,11,22043000,17,538,SP,1,917800,48,60,258,2204
2018,8,22042100,17,586,RS,7,917500,510108,510385,872543,2204
2018,8,22041090,17,249,SP,4,817600,28,56,168,2204
2018,8,22042100,17,249,RE,9,817600,1021,1021,3624,2204
2018,8,22042100,17,628,RS,1,1017700,9765,9765,41270,2204
2018,9,22042100,17,245,SP,4,817600,756,920,3124,2204
2018,10,22041090,17,249,PA,4,217801,38,29,42,2204
2018,11,22042100,17,434,SP,9,817800,9,36,30,2204
2018,8,22042100,17,434,CE,9,317900,9,7,22,2204
2018,11,22041090,17,434,SC,1,917800,106,106,126,2204
2018,10,22041090,17,200,RS,1,927800,774,800,2250,2204
2018,8,22042100,17,23,SP,4,817600,682,838,2912,2204
2018,11,22042100,17,77,SP,9,817800,9,9,38,2204
2018,8,22041010,17,586,SP,4,817600,16,16,174,2204
2018,10,22041010,17,249,MG,4,617700,16,13,250,2204
2018,8,22042100,17,528,RS,1,817800,4500,4500,5000,2204
2018,8,22041010,17,607,RE,4,817700,292,220,4561,2204
2018,10,22042100,17,586,SP,4,817600,450,629,2209,2204
2018,10,22042100,17,301,ES,1,727600,49,40,144,2204
2018,8,22041090,17,158,SP,4,817600,55,110,312,2204
2018,10,22041010,17,249,SP,4,817700,320,252,4990,2204
2018,12,22042100,17,351,ES,1,727600,86,65,365,2204
2018,10,22041010,17,158,SP,4,817600,119,119,1250,2204
2018,9,22041010,17,741,RS,9,1017700,9,8,23,2204
2018,5,22041010,17,586,RS,7,917500,983,983,4982,2204
2018,11,22042100,17,23,SP,4,817600,679,876,3301,2204
2018,6,22042100,17,200,SP,1,817800,2025,2025,3206,2204
2018,9,22042100,17,249,RS,1,1017700,5670,5670,10862,2204
2018,11,22042100,17,249,SP,4,817700,3251,2460,10950,2204
2018,11,22042211,17,351,SC,1,927502,12,56,99,2204
2018,2,22041010,17,160,RS,1,1017700,2700,2700,7560,2204
2018,11,22041010,17,63,SP,4,817600,293,503,4636,2204
2018,7,22042100,17,586,SP,7,917500,225,225,377,2204
2018,11,22042100,17,741,SP,1,817800,5,4,28,2204
2018,8,22041010,17,249,SP,4,817600,98,98,1067,2204
2018,11,22042100,17,249,PA,4,217801,94,75,325,2204
2018,9,22041010,17,249,RE,4,417900,48,36,749,2204
2018,11,22042100,17,63,RS,4,817600,42,42,458,2204
2018,11,22041010,17,63,RJ,4,717700,7,7,102,2204
2018,7,22041010,17,628,RS,1,1017700,1733,1733,10010,2204
2018,12,22041010,17,607,RS,4,817600,253,249,4872,2204
2018,11,22042211,17,160,MA,9,320151,33,33,195,2204
2018,10,22042100,17,249,SP,4,817700,2957,2266,10960,2204
2018,8,22042100,17,249,RE,4,417900,1466,1100,4903,2204
2018,11,22042100,17,301,RS,1,1017700,24,24,74,2204
2018,10,22042100,17,741,ES,1,727600,484,267,747,2204
2018,8,22042100,17,158,SP,4,817600,2505,3003,10306,2204
2018,10,22041090,17,845,SP,4,817600,860,709,1346,2204
2018,10,22042100,17,741,SP,9,817800,24,46,80,2204
2018,10,22041010,17,160,RS,1,1017700,180,180,1836,2204
2018,12,22041090,17,476,PR,1,917800,14,14,78,2204
2018,2,22041010,17,87,RS,1,1017700,1800,1800,10555,2204
2018,11,22041090,17,245,SP,4,817600,699,558,1071,2204
2018,3,22042100,17,169,RS,1,817800,2250,2239,8053,2204
2018,11,22041090,17,493,SP,4,817600,221,172,323,2204
2018,2,22042100,17,351,RS,1,817800,315,315,3330,2204
2018,11,22041010,17,607,SP,4,817700,148,114,2311,2204
2018,9,22042100,17,467,RS,1,1017700,24,16,90,2204
2018,11,22041010,17,23,SP,4,817600,54,96,899,2204
2018,11,22042100,17,386,SP,4,817600,965,1194,4489,2204
2018,9,22041010,17,63,SP,4,817600,96,96,973,2204
2018,11,22041010,17,169,SP,4,817600,74,121,1088,2204
2018,4,22042100,17,249,RS,1,1017700,7155,8289,20952,2204
2018,8,22042100,17,245,SP,4,817600,1094,1240,4151,2204
2018,11,22041010,17,245,SP,4,817600,126,216,1938,2204
2018,9,22042100,17,845,RJ,4,717700,119,145,436,2204
2018,9,22042100,17,586,PR,7,147800,16410,16486,21888,2204
2018,10,22041090,17,63,RJ,4,717700,36,29,48,2204
2018,10,22041090,17,245,SP,4,817600,951,751,1417,2204
2018,10,22041090,17,160,RS,1,1017700,315,315,1739,2204
2018,10,22042100,17,476,PA,0,210200,20,20,157,2204
2018,10,22042100,17,200,SP,1,817800,9090,9090,14624,2204
2018,12,22041010,17,249,RS,4,817600,585,585,3253,2204
2018,10,22042100,17,399,RJ,1,717800,9,11,36,2204
2018,10,22041010,17,399,RS,1,1017700,225,225,848,2204
2018,10,22042100,17,827,PR,1,917800,50,351,117,2204
2018,8,22041090,17,586,SC,7,917500,90,400,425,2204
2018,10,22042100,17,249,RE,4,817700,921,693,3354,2204
