CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2006,6,22043000,17,586,PR,9,910651,597,3430,1989,2204
2006,1,22042100,17,249,RS,1,1010500,835,6626,10115,2204
2006,3,22042900,17,791,RS,1,1010500,81,81,895,2204
2006,11,22041090,17,40,PR,1,920600,225,203,588,2204
2006,10,22042900,17,361,RS,1,1010500,5,14,33,2204
2006,11,22042100,17,628,RS,1,1010500,15,105,400,2204
2006,9,22042100,17,586,RS,7,910600,280977,280977,125655,2204
2006,12,22042900,17,586,PR,9,145300,11170,11170,7966,2204
2006,5,22041010,17,87,RS,1,1010500,3375,3375,18128,2204
2006,2,22042100,17,249,RS,0,817600,495,495,1797,2204
2006,5,22042100,17,87,RS,1,1010500,3375,3375,13199,2204
2006,3,22042100,17,249,RS,4,817600,120,908,1896,2204
2006,3,22042100,17,47,SP,1,817800,1596,1596,1467,2204
2006,3,22041090,17,249,RS,0,817600,177,177,787,2204
2006,8,22042100,17,586,RS,7,910600,106818,106818,48652,2204
2006,6,22042100,17,47,SP,1,817800,2208,2208,2825,2204
2006,11,22041010,17,586,RS,7,910600,3258,3258,4767,2204
2006,3,22042100,17,791,RS,1,1010500,2473,2473,15840,2204
2006,4,22041010,17,767,RS,1,817800,270,270,1140,2204
2006,12,22042100,17,23,ZN,4,817600,120,186,5047,2204
2006,12,22041010,17,586,RS,7,910600,7801,7801,11869,2204
2006,9,22043000,17,586,PR,9,910651,665,2500,1553,2204
2006,2,22043000,17,399,RS,1,1010500,238,238,315,2204
2006,9,22041090,17,399,RS,1,1010500,225,225,796,2204
2006,9,22042100,17,23,SP,1,817800,32,71,432,2204
2006,9,22042100,17,386,SP,1,817800,1337,2709,5423,2204
2006,3,22042100,17,249,RS,1,1010500,8535,47949,93610,2204
2006,11,22043000,17,271,PE,1,417800,5940,11088,7920,2204
2006,11,22042900,17,399,SP,1,1010500,22085,21900,15337,2204
2006,12,22042100,17,23,SP,1,817800,270,360,1023,2204
2006,2,22042100,17,249,RS,1,1010500,1848,15792,20076,2204
2006,3,22042100,17,23,RS,1,1010500,5040,22680,50702,2204
2006,3,22042100,17,676,RS,1,1010500,61200,61200,25520,2204
2006,3,22042900,17,676,RS,1,1010500,120000,120000,33600,2204
2006,11,22041010,17,628,RS,1,1010500,10,80,219,2204
2006,10,22042100,17,251,RS,1,1010500,720,1304,3013,2204
2006,6,22042100,17,586,PR,7,145300,1480,15387,11780,2204
2006,10,22043000,17,40,SP,1,817800,594,1116,1745,2204
2006,9,22042100,17,586,SC,7,145300,4832,5582,5192,2204
2006,9,22041010,17,158,BA,7,1010900,2250,5050,5250,2204
2006,8,22042100,17,791,RS,1,1010500,2962,5825,16219,2204
2006,10,22042900,17,399,SP,1,1010500,20058,19890,13958,2204
2006,6,22041010,17,149,RS,1,817800,225,225,1468,2204
2006,6,22042900,17,586,SC,7,145300,10926,11250,4487,2204
2006,10,22043000,17,586,PR,9,910651,315,2872,1611,2204
2006,11,22041010,17,791,RS,1,1010500,32,191,968,2204
2006,11,22042100,17,23,RS,1,1010500,780,780,8260,2204
2006,5,22042100,17,586,PR,9,145300,13100,13100,7031,2204
2006,9,22042100,17,23,RS,1,1010500,6435,10193,16688,2204
2006,12,22042100,17,249,RS,1,1010500,3697,26181,38743,2204
2006,11,22043000,17,169,RS,1,1010500,2800,28000,39200,2204
2006,12,22042900,17,586,PR,7,145300,33695,41860,28868,2204
2006,10,22041010,17,249,BA,1,817800,2268,3270,6174,2204
2006,7,22042900,17,97,RJ,7,250151,750,5822,6961,2204
2006,9,22042100,17,111,ZN,4,817600,41,82,712,2204
2006,2,22042100,17,275,RS,1,1010500,7560,7560,15658,2204
2006,2,22041010,17,97,SP,7,145200,179,136,405,2204
2006,6,22041090,17,232,RS,1,817800,2,3,4,2204
2006,6,22042100,17,249,RS,0,817600,622,1225,2846,2204
2006,11,22042100,17,249,RS,1,1010500,5279,39926,64035,2204
2006,8,22042900,17,399,SP,1,1010500,22146,21960,15445,2204
2006,4,22041010,17,97,SP,7,145200,180,181,540,2204
2006,1,22043000,17,586,PR,9,910651,189,2225,1078,2204
2006,8,22042900,17,586,RS,7,910600,4554,4554,2471,2204
2006,10,22043000,17,815,RS,1,1010500,6,3,192,2204
2006,4,22042100,17,249,RE,9,717700,164,633,360,2204
2006,10,22042900,17,40,SP,1,817800,180,312,1160,2204
2006,5,22042900,17,399,RS,1,1010500,2800,2800,2471,2204
2006,5,22041010,17,23,RS,4,817600,153,153,928,2204
2006,5,22042100,17,23,RS,1,817800,1920,2296,6802,2204
2006,9,22042100,17,158,RS,7,1010900,1125,1988,2893,2204
2006,12,22041010,17,445,RS,4,817700,270,270,1152,2204
2006,8,22042900,17,845,PE,1,517600,540,1008,1685,2204
2006,7,22043000,17,586,PR,9,910651,990,7630,4227,2204
2006,4,22042900,17,607,PE,1,517600,10088,17732,13200,2204
2006,1,22041090,17,158,RS,7,1010900,450,2025,6750,2204
2006,3,22042100,17,628,SP,1,817800,113,113,252,2204
2006,8,22042900,17,791,RS,1,1010500,318,497,2701,2204
2006,11,22042900,17,586,PR,9,145300,16744,16744,9325,2204
2006,9,22042100,17,47,SP,1,817800,4635,4635,7788,2204
2006,5,22043000,17,586,PR,9,910651,712,8581,5325,2204
2006,12,22043000,17,586,PR,9,910651,1626,12302,6757,2204
2006,1,22042100,17,47,SP,1,817800,1596,1596,1467,2204
2006,12,22041010,17,586,RS,7,145300,3,64,73,2204
2006,11,22042900,17,399,RS,1,1010500,84241,84241,50815,2204
2006,12,22042100,17,767,RS,1,1010500,12605,23908,51425,2204
2006,4,22042900,17,764,PE,1,517600,9000,16120,12000,2204
2006,6,22042100,17,249,SP,1,817800,12110,12110,15600,2204
2006,9,22042100,17,249,RS,1,1010500,6804,6804,9450,2204
2006,5,22042100,17,586,PR,7,145300,13500,13333,9360,2204
2006,5,22042100,17,586,SC,7,145300,3168,3168,2893,2204
2006,3,22043000,17,586,PR,9,910651,543,5311,2959,2204
2006,1,22042100,17,586,RS,7,910600,103800,103800,35121,2204
2006,4,22042100,17,586,SC,7,145300,50,500,483,2204
2006,8,22043000,17,399,RS,1,1010500,1595,13069,20233,2204
2006,6,22042900,17,399,RS,1,1010500,3600,3600,3177,2204
2006,11,22042100,17,791,RS,1,1010500,3321,6113,27680,2204
2006,7,22042100,17,249,RS,0,817600,261,518,1377,2204
2006,3,22042900,17,249,RS,1,1010500,13824,13824,13772,2204
2006,4,22042100,17,251,RS,1,817800,360,670,1568,2204
2006,8,22042900,17,271,PE,1,517600,495,11088,7920,2204
2006,4,22042100,17,586,RS,7,910600,138240,138240,48918,2204
2006,8,22042900,17,249,SP,1,817800,10400,10790,12376,2204
