CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2019,11,22042100,17,476,MA,0,320151,32,71,164,2204
2019,12,22042100,17,351,MA,0,320151,149,149,498,2204
2019,12,22042100,17,200,RS,1,1017700,3548,3574,10837,2204
2019,12,22042100,17,249,RS,1,1017700,7830,7830,34032,2204
2019,12,22041090,17,169,RS,1,1017700,180,180,676,2204
2019,12,22042100,17,434,SC,1,917800,2,2,4,2204
2019,11,22041090,17,586,RS,7,147800,1080,1503,3621,2204
2019,11,22042100,17,434,PR,1,917800,67,70,168,2204
2019,12,22042100,17,586,SP,7,917500,270,270,377,2204
2019,7,22043000,17,163,SP,1,817800,4,4,32,2204
2019,1,22042100,17,770,SP,1,817800,2925,2925,4225,2204
2019,11,22042100,17,267,MA,0,320151,38,38,79,2204
2019,11,22041090,17,586,MS,7,147800,14,16,48,2204
2019,8,22042100,17,580,PR,1,917800,34,31,86,2204
2019,3,22042100,17,434,RS,1,1017700,112,43,268,2204
2019,6,22042100,17,628,ES,1,727600,9,13,47,2204
2019,7,22041090,17,149,RS,1,1017700,1800,1800,5411,2204
2019,5,22041090,17,586,RS,7,147800,823,836,2739,2204
2019,8,22042100,17,628,RS,1,817800,540,540,2885,2204
2019,11,22042100,17,580,MA,0,320151,50,50,239,2204
2019,12,22042100,17,741,ES,1,727600,100,88,182,2204
2019,12,22042100,17,741,MA,0,320151,80,80,163,2204
2019,3,22041090,17,160,RS,1,1017700,4118,4118,22698,2204
2019,12,22041090,17,289,SP,1,817800,136,136,595,2204
2019,8,22042100,17,476,MA,0,320151,44,44,159,2204
2019,6,22042100,17,476,SP,1,917800,12,12,41,2204
2019,11,22042100,17,741,BA,1,517800,6,18,18,2204
2019,7,22042100,17,573,ES,1,727600,36,36,140,2204
2019,5,22042910,17,40,BA,1,517800,24,24,43,2204
2019,11,22041090,17,434,PR,1,917800,28,28,76,2204
2019,11,22042211,17,267,ES,1,727600,7,2,147,2204
2019,3,22042100,17,249,PA,4,217801,249,191,693,2204
2019,9,22042910,17,301,MA,0,320151,12,12,187,2204
2019,7,22042100,17,351,RS,1,817800,549,549,2340,2204
2019,12,22042100,17,267,SP,12,817800,56,54,182,2204
2019,9,22042910,17,476,MA,0,320151,1,1,5,2204
2019,5,22041090,17,476,SP,12,817800,4,2,16,2204
2019,1,22042100,17,399,MA,0,320151,11,11,37,2204
2019,7,22042100,17,249,PE,4,417901,117,117,519,2204
2019,1,22041010,17,580,SP,1,817800,6,6,43,2204
2019,5,22041090,17,293,SP,1,817800,4,19,51,2204
2019,8,22042100,17,586,RS,7,917500,91155,91155,147262,2204
2019,5,22042100,17,249,SP,4,817700,2427,1845,8828,2204
2019,3,22042100,17,351,ES,1,727600,203,203,2403,2204
2019,11,22041010,17,607,SP,4,817700,26,26,500,2204
2019,8,22042100,17,361,RJ,1,717800,9,9,40,2204
2019,3,22042100,17,249,SC,1,927700,27,27,660,2204
2019,11,22041010,17,538,RS,1,1017700,46,42,48,2204
2019,3,22042100,17,399,RS,1,1017700,5679,5679,11573,2204
2019,5,22042100,17,434,SC,1,917800,9,9,24,2204
2019,7,22042100,17,434,RS,1,1017700,36,18,125,2204
2019,11,22042100,17,467,SP,12,817800,12,12,44,2204
2019,7,22041010,17,431,PA,1,217800,24,24,74,2204
2019,5,22042100,17,628,PA,1,217800,6,6,30,2204
2019,9,22042100,17,341,RS,1,1017700,8550,8550,12635,2204
2019,7,22042211,17,160,ES,1,727600,2,1,38,2204
2019,12,22042100,17,434,CE,1,317900,25,25,105,2204
2019,5,22042100,17,351,PR,1,917800,45,92,91,2204
2019,3,22042100,17,249,SP,4,817700,2559,1968,9404,2204
2019,8,22042100,17,580,MA,0,320151,197,197,1078,2204
2019,9,22042100,17,580,SC,1,927502,9,12,12,2204
2019,3,22042100,17,341,RS,1,1017700,33000,33000,54155,2204
2019,3,22042100,17,232,BA,1,517800,72,223,220,2204
2019,5,22042100,17,573,RS,1,1017700,4,5,10,2204
2019,4,22041010,17,160,RS,1,1017700,450,450,1680,2204
2019,2,22042920,17,476,SP,1,817800,9,8,29,2204
2019,9,22042100,17,245,RJ,4,717700,5,1791,740,2204
2019,10,22041090,17,580,PR,1,917800,14,14,155,2204
2019,10,22042100,17,476,SP,12,817800,25,106,319,2204
2019,10,22042100,17,580,SP,1,817800,1,1,4,2204
2019,4,22042100,17,351,SP,1,817800,112,181,1042,2204
2019,4,22041090,17,434,SC,1,927800,28,28,43,2204
2019,2,22042100,17,467,ES,1,727600,8,7,35,2204
2019,2,22041090,17,249,RS,4,817700,2,2,15,2204
2019,4,22042100,17,580,PA,1,217800,4,4,32,2204
2019,4,22041010,17,528,RS,1,1017700,675,675,3411,2204
2019,10,22042100,17,741,MA,0,320151,32,43,380,2204
2019,2,22041010,17,275,RS,1,817800,531,531,2249,2204
2019,10,22042100,17,351,PR,1,917800,14,14,27,2204
2019,10,22042100,17,301,RS,1,1017700,5,5,17,2204
2019,10,22043000,17,163,SP,1,817800,5,4,19,2204
2019,4,22041090,17,476,ES,1,817800,18,20,59,2204
2019,4,22042100,17,580,CE,1,317900,28,28,114,2204
2019,12,22042211,17,580,ES,1,727600,6,5,120,2204
2019,12,22042100,17,467,ES,1,727600,105,118,435,2204
2019,6,22042100,17,467,CE,1,317900,18,18,212,2204
2019,12,22042100,17,249,PE,4,417901,136,136,662,2204
2019,11,22042100,17,77,MA,0,320151,5,5,10,2204
2019,7,22041010,17,249,RS,1,1017700,68121,67998,176916,2204
2019,6,22041010,17,603,RS,1,1017700,18810,18810,57107,2204
2019,3,22042100,17,351,PR,1,917800,269,294,696,2204
2019,5,22042100,17,467,AM,1,240152,12,12,140,2204
2019,1,22042100,17,434,SP,1,817800,31,19,451,2204
2019,1,22042100,17,476,RS,1,1017700,14,13,47,2204
2019,12,22042100,17,341,SP,1,817800,2700,2700,3750,2204
2019,8,22042100,17,434,SC,1,927800,11,11,29,2204
2019,5,22042100,17,200,SP,1,817800,4051,4051,5735,2204
2019,1,22041010,17,399,RS,1,1017700,4320,4320,16941,2204
2019,7,22042100,17,741,SP,1,817800,29,121,181,2204
2019,3,22042100,17,476,RJ,1,717800,36,2321,207,2204
2019,8,22042211,17,399,RS,1,1017700,77,61,106,2204
2019,7,22042100,17,301,RJ,1,727600,4,4,12,2204
2019,5,22043000,17,434,SP,1,817800,8,17,32,2204
2019,11,22042100,17,580,SC,1,927700,24,24,106,2204
2019,6,22042100,17,538,SP,1,817800,6,9,83,2204
2019,12,22042100,17,275,CE,1,317900,9,8,59,2204
2019,7,22042100,17,434,ES,1,727600,47,46,156,2204
2019,11,22041090,17,850,RS,1,817800,450,450,2670,2204
2019,11,22042100,17,386,RS,1,817800,450,450,996,2204
2019,6,22042100,17,77,SP,12,817800,45,49,289,2204
2019,11,22042219,17,160,RS,1,1017700,18,18,20,2204
2019,11,22043000,17,169,RS,1,1017700,41488,41488,92288,2204
2019,9,22042211,17,43,RJ,1,717600,28,28,133,2204
2019,5,22041090,17,40,BA,1,517800,20,20,91,2204
2019,3,22041090,17,580,MA,0,320151,8,30,86,2204
2019,6,22041090,17,351,SP,1,817800,86,86,224,2204
2019,11,22042100,17,776,SP,1,717800,3,3,15,2204
2019,7,22042100,17,434,MA,0,320151,10,10,42,2204
2019,5,22042211,17,741,ES,1,727600,5,5,10,2204
2019,3,22042100,17,580,SP,1,817800,37,350,393,2204
2019,12,22041010,17,434,SP,1,817800,12,11,69,2204
2019,7,22042100,17,607,SP,1,817800,6,20,222,2204
2019,5,22042100,17,160,RS,1,1017700,48710,48560,111041,2204
2019,12,22042100,17,351,SC,1,927502,43,14,87,2204
2019,8,22041090,17,467,RS,1,1017700,25,28,44,2204
2019,5,22041090,17,434,SC,1,917800,46,46,53,2204
2019,5,22042100,17,741,CE,1,317900,46,46,197,2204
2019,1,22041010,17,160,RS,1,1017700,405,405,1512,2204
2019,11,22042100,17,476,BA,1,517800,24,114,74,2204
2019,5,22041010,17,351,SP,1,817800,447,447,2052,2204
2019,1,22042100,17,351,SP,12,817800,14,14,56,2204
2019,11,22042100,17,434,PA,0,210200,11,11,49,2204
2019,9,22041090,17,351,SP,1,817800,28,51,64,2204
2019,7,22042100,17,351,PR,1,917800,96,103,125,2204
2019,6,22042100,17,249,PE,4,417901,183,179,753,2204
2019,5,22042100,17,160,SP,1,817800,24,52,171,2204
2019,1,22042100,17,351,RJ,1,817800,4,6,28,2204
2019,11,22042100,17,467,PR,1,917800,5,5,16,2204
2019,11,22042100,17,741,PR,1,917800,15,15,64,2204
2019,11,22041010,17,249,RS,1,1017700,12150,12118,29700,2204
2019,5,22042100,17,628,RS,1,817800,900,900,4869,2204
2019,3,22042100,17,434,SP,12,817800,1,1,3,2204
2019,9,22042100,17,467,ES,1,727600,3,3,11,2204
2019,7,22042211,17,160,MA,0,320151,9,62,76,2204
2019,9,22042100,17,580,RS,1,1017700,20,20,71,2204
2019,6,22041090,17,476,ES,1,817800,18,18,61,2204
2019,3,22042100,17,80,SP,1,817800,8,32,292,2204
2019,5,22041090,17,375,SP,1,817800,12,14,26,2204
2019,3,22042100,17,467,CE,1,317900,11,11,76,2204
2019,5,22041010,17,249,PA,1,217800,366,367,2047,2204
2019,11,22041090,17,580,SP,12,817800,45,22,164,2204
2019,3,22041090,17,580,PR,1,917800,3,3,20,2204
2019,9,22042100,17,586,SC,7,147800,16200,16200,17271,2204
