CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2021,10,22042100,17,580,SP,1,817800,373,1124,1063,2204
2021,1,22042100,17,538,SP,1,817800,35,80,183,2204
2021,11,22042100,17,538,RS,1,1017700,9,9,65,2204
2021,7,22042211,17,580,ES,1,727600,27,27,76,2204
2021,3,22042100,17,434,PR,1,917800,80,69,170,2204
2021,9,22042100,17,741,ES,1,727600,96,96,530,2204
2021,9,22042211,17,741,ES,1,727600,51,51,149,2204
2021,3,22041090,17,628,RS,4,817600,129,129,1060,2204
2021,7,22041090,17,434,SP,1,817800,16,17,49,2204
2021,5,22042100,17,476,ES,1,727600,89,87,208,2204
2021,3,22042100,17,434,SP,1,917800,18,30,49,2204
2021,2,22042100,17,434,ES,1,710251,38,55,453,2204
2021,9,22042100,17,163,ES,1,727600,18,18,65,2204
2021,1,22042211,17,538,RS,1,1017700,5,5,5,2204
2021,12,22041090,17,160,RS,1,1017700,594,618,1956,2204
2021,8,22042100,17,434,MA,1,317903,51,51,265,2204
2021,11,22042100,17,741,SC,1,917800,228,115,207,2204
2021,6,22042100,17,249,ND,4,817700,65,189,1100,2204
2021,12,22042100,17,43,RJ,1,717600,15,71,55,2204
2021,7,22042100,17,580,MA,1,317903,146,150,454,2204
2021,8,22042100,17,538,SP,1,817800,5,5,43,2204
2021,5,22042100,17,580,RJ,1,710251,27,25,114,2204
2021,6,22042100,17,476,SC,1,927700,69,69,109,2204
2021,3,22042100,17,434,SP,12,817800,13,50,67,2204
2021,9,22042100,17,163,PR,1,917800,12,12,42,2204
2021,2,22042100,17,607,MG,1,817800,480,480,1521,2204
2021,12,22042100,17,580,MA,1,317903,132,132,282,2204
2021,9,22042100,17,249,SP,1,817800,4410,4410,2570,2204
2021,5,22042100,17,580,MA,1,717800,9,9,10,2204
2021,9,22042211,17,767,SC,1,927502,1,1,1,2204
2021,6,22041010,17,249,RS,1,1017700,74196,74552,199468,2204
2021,6,22042100,17,249,RS,1,1017700,11854,13812,29435,2204
2021,10,22042100,17,741,SP,1,817800,39,39,289,2204
2021,4,22042100,17,200,RS,1,1017700,1398,1398,4407,2204
2021,6,22042910,17,351,SP,1,927502,9,9,30,2204
2021,2,22042100,17,434,SP,1,817800,72,142,945,2204
2021,9,22042100,17,351,BA,1,517800,33,33,230,2204
2021,8,22041010,17,301,RJ,1,717800,6,4,19,2204
2021,4,22042100,17,628,SP,4,817600,18,26,186,2204
2021,5,22042100,17,351,MA,1,317903,64,64,383,2204
2021,4,22041010,17,97,RS,7,147600,1620,1637,6019,2204
2021,9,22042100,17,267,ES,1,727600,12,38,11,2204
2021,11,22042100,17,301,ES,1,727600,2,1,6,2204
2021,7,22042100,17,434,SP,1,917800,14,20,41,2204
2021,7,22042100,17,467,SP,1,817800,123,162,759,2204
2021,1,22042100,17,351,MA,1,317903,52,52,117,2204
2021,8,22042100,17,163,SP,1,817800,14,16,76,2204
2021,12,22042100,17,249,RS,1,1017700,23634,23634,44430,2204
2021,9,22042100,17,434,PR,1,917800,54,59,91,2204
2021,4,22041090,17,160,RS,1,1017700,2129,2129,8514,2204
2021,4,22042211,17,741,ES,1,727600,8,8,35,2204
2021,12,22042100,17,289,SP,1,817800,90,90,150,2204
2021,2,22041090,17,580,SP,1,817800,1,4,5,2204
2021,5,22042100,17,580,MA,1,317903,56,57,158,2204
2021,1,22042100,17,351,SP,1,917800,6,6,38,2204
2021,8,22041090,17,467,MA,1,317903,39,41,34,2204
2021,8,22042211,17,434,RS,1,1017700,5,3,5,2204
2021,12,22042100,17,741,SC,1,927700,9,119,63,2204
2021,3,22041090,17,355,RS,4,817600,96,96,668,2204
2021,5,22042100,17,434,PR,1,917800,59,59,110,2204
