CO_NCM;CO_UNID;CO_SH6;CO_PPE;CO_PPI;CO_FAT_AGREG;CO_CUCI_ITEM;CO_CGCE_N3;CO_SIIT;CO_ISIC_CLASSE;CO_EXP_SUBSET;NO_NCM_POR;NO_NCM_ESP;NO_NCM_ING;CO_SH4
22042910;17;220429;3873.0;3873.0;3.0;11217;324;4000.0;1102;8099.0;Vinhos em recipientes de capacidade superior a 10 litros;El vino en recipientes de más de 10 litros;Wine in containers larger than 10 liters;2204
22041010;17;220410;3873.0;3873.0;3.0;11215;324;4000.0;1102;8099.0;Vinhos espumantes e vinhos espumosos, tipo champanha (champagne);Vinos de uvas frescas, tipo cava (champaña);"Wine of fresh grapes, ""champagne"" type";2204
22042100;17;220421;3873.0;3873.0;3.0;11217;324;4000.0;1102;8099.0;Outros vinhos, mostos de uvas, fermentados, impedidos álcool, em recipientes de capacidade não superior a 2 litros;Los dem.vin.most.uv.en q.fer.se ha imp.añ.al.rec.c.<=2l;Other wine, grape must, fermen.alcohol containers<=2l;2204
22042900;17;220429;3873.0;3873.0;3.0;11217;324;4000.0;1102;8099.0;Outros vinhos, mostos de uvas, fermentação impedida por adição de álcool;Los dem.vinos, most.de uvas, en q.ferm.se ha imp.añad.alc;Other wine, grape must, fermented to added alcohol;2204
22042911;17;220429;3873.0;3873.0;3.0;11217;324;4000.0;1102;8099.0;Vinhos em recipientes de capacidade não superior a 5 litros;Vinos en envases de capacidad no superior a 5 litros;Wines in containers with capacity not over 5 liters;2204
22042919;17;220429;3873.0;3873.0;3.0;11217;324;4000.0;1102;8099.0;Vinhos em recipientes de capacidade superior a 5 litros;Vinos en envases de capacidad más de 5 litros;Wines in containers with capacity over 5 liter;2204
