CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,CO_SH
2007,4,22042100,17,249,RS,1,1010500,7556,58601,81209,2204
2007,5,22042100,17,586,RS,7,910600,153338,153338,71665,2204
2007,3,22042900,17,249,RS,1,1010500,3,50,24,2204
2007,10,22041010,17,791,RS,1,1017700,90,90,534,2204
2007,12,22042900,17,399,SP,1,1017700,44336,44000,42612,2204
2007,1,22042100,17,586,RS,7,910600,24600,24600,10841,2204
2007,8,22042100,17,586,PR,7,145300,1440,11383,11142,2204
2007,3,22042100,17,232,RS,1,817800,630,1155,4179,2204
2007,1,22042100,17,40,RS,1,920600,280,2925,1399,2204
2007,7,22042100,17,23,SP,1,817800,1080,1817,5266,2204
2007,8,22042100,17,791,SC,1,1017700,40,180,1357,2204
2007,12,22042100,17,249,RS,1,1017700,1080,8595,14421,2204
2007,10,22041010,17,249,RS,1,1017700,3087,3087,9815,2204
2007,3,22042100,17,586,SP,7,910600,3036,4807,2609,2204
2007,7,22042100,17,586,PR,7,145300,3020,26172,26258,2204
2007,10,22042100,17,776,RS,1,817800,450,839,2020,2204
2007,12,22042100,17,149,RS,1,817800,1800,1800,7000,2204
2007,2,22041090,17,249,RS,1,1010500,891,891,2376,2204
2007,3,22042100,17,586,PR,7,145300,1820,17761,13625,2204
2007,9,22041010,17,445,RS,1,817800,540,300,2304,2204
2007,6,22042100,17,249,RS,0,717700,120,120,1310,2204
2007,2,22041010,17,23,RS,1,1010500,900,1974,3820,2204
2007,6,22041090,17,791,RS,1,1017700,90,197,309,2204
2007,6,22042100,17,586,PR,7,145300,1720,15699,13979,2204
2007,4,22042100,17,23,RS,1,1010500,8545,24200,53213,2204
2007,10,22043000,17,586,PR,9,910651,1128,11160,7735,2204
2007,10,22042100,17,586,SC,7,145300,1616,2077,1397,2204
2007,8,22042100,17,647,RS,1,1017700,120,581,2430,2204
2007,4,22042100,17,586,SP,7,910600,313,313,347,2204
2007,10,22042100,17,232,RS,1,817800,1148,2325,6997,2204
2007,5,22042100,17,40,RJ,1,717600,1680,17741,33264,2204
2007,3,22042900,17,199,PE,1,517600,1260,2352,4788,2204
2007,8,22042900,17,399,RS,1,1017700,3200,3200,4000,2204
2007,2,22042100,17,87,RS,1,817800,1077,1077,3751,2204
2007,8,22042100,17,199,SP,1,817800,317,317,330,2204
2007,2,22043000,17,791,RS,1,1010500,480,360,9360,2204
2007,11,22042100,17,586,SC,9,145300,1584,1584,1769,2204
2007,9,22041010,17,586,RS,7,910600,2099,2099,3126,2204
2007,11,22043000,17,586,PR,9,910651,1063,7067,5882,2204
2007,12,22043000,17,528,RS,1,817800,100,792,1500,2204
2007,3,22042100,17,249,RS,4,817600,52,85,1744,2204
2007,1,22042900,17,249,RS,1,1010500,3600,14000,15201,2204
2007,1,22043000,17,271,PE,1,417800,6300,11760,8400,2204
2007,12,22042100,17,586,PR,7,145300,2500,18232,19156,2204
2007,12,22042900,17,586,SC,9,145300,120,540,531,2204
2007,3,22041090,17,149,RS,1,817800,1350,1350,6705,2204
2007,3,22042900,17,399,RS,1,1010500,42000,42000,23730,2204
2007,1,22041010,17,40,RS,1,920600,120,1944,1041,2204
2007,2,22042100,17,23,RS,1,1010500,3707,7345,17458,2204
2007,3,22042100,17,791,BA,1,517600,24000,24000,19920,2204
2007,12,22042100,17,586,SC,7,145300,1094,1580,1137,2204
2007,3,22043000,17,169,RS,1,1010500,1400,14000,19600,2204
2007,2,22041010,17,249,RS,1,1010500,297,297,792,2204
2007,9,22041010,17,249,RS,0,817600,207,455,1021,2204
2007,9,22041010,17,158,RS,7,1010900,855,855,6840,2204
2007,9,22041090,17,249,RS,0,817600,225,225,1800,2204
2007,9,22042900,17,586,SC,7,145300,360,360,298,2204
2007,12,22041010,17,586,PR,7,145300,40,293,580,2204
2007,3,22042100,17,586,SC,7,145300,50,499,494,2204
2007,10,22042100,17,573,RS,1,1017700,22050,42343,95550,2204
2007,10,22042900,17,249,RS,1,1017700,29232,26185,31572,2204
2007,11,22042100,17,676,RS,1,1017700,144000,144000,93600,2204
2007,10,22042900,17,586,SC,9,145300,1736,12468,11531,2204
2007,7,22042100,17,275,RS,1,1017700,3375,6338,11220,2204
2007,7,22042100,17,767,RS,1,1017700,13500,26090,70716,2204
2007,2,22041010,17,586,RS,7,910600,38,38,289,2204
2007,6,22041010,17,764,RS,1,817800,878,878,3512,2204
2007,9,22042100,17,764,RS,1,1017700,360,919,2448,2204
2007,6,22042900,17,791,RS,1,1017700,300,610,4004,2204
2007,7,22041090,17,767,ZN,4,817600,1,0,20,2204
2007,11,22042100,17,249,SP,1,817800,6750,7190,4500,2204
2007,7,22042900,17,586,PR,7,145300,13910,32381,26293,2204
2007,7,22042100,17,249,RS,1,1017700,1848,15792,21924,2204
2007,4,22041010,17,399,RS,1,1010500,135,135,537,2204
2007,7,22042100,17,249,RS,0,717700,486,486,5040,2204
2007,10,22042100,17,791,RS,1,1017700,3560,8669,32417,2204
2007,12,22042100,17,190,RS,1,817800,450,1012,4650,2204
2007,7,22041010,17,249,RS,0,717700,32,32,249,2204
2007,12,22042900,17,586,PR,7,145300,13515,17358,14092,2204
2007,3,22042100,17,586,RS,7,910600,70344,70344,31770,2204
2007,7,22042100,17,676,RS,1,1017700,81600,81600,53040,2204
2007,12,22042100,17,160,RS,1,1017700,75060,7560,30240,2204
2007,8,22043000,17,586,PR,9,910651,471,3485,2687,2204
2007,9,22042900,17,586,PR,7,145300,5200,23745,20931,2204
2007,9,22042100,17,249,RS,1,1017700,3646,31584,43848,2204
2007,6,22041010,17,249,RS,0,717700,30,30,234,2204
2007,12,22042100,17,23,RS,1,1017700,24193,42951,81900,2204
2007,7,22042100,17,850,SP,1,817800,20700,20700,27370,2204
2007,4,22043000,17,538,PE,1,417800,5873,10962,7830,2204
2007,3,22043000,17,586,PR,9,910651,551,4712,2760,2204
2007,1,22042100,17,249,RS,0,817600,203,279,1924,2204
2007,3,22042100,17,538,BA,1,517600,5400,10044,10044,2204
2007,10,22042100,17,47,SP,1,817800,2664,2664,3554,2204
2007,7,22042100,17,47,SP,1,817800,5187,5187,5319,2204
2007,4,22042100,17,249,RS,0,817600,54,91,193,2204
2007,7,22041010,17,97,SP,7,145200,180,181,540,2204
2007,10,22041010,17,628,RS,1,1017700,765,1683,5202,2204
2007,11,22042900,17,249,SP,1,817800,1200,1725,1500,2204
2007,10,22042900,17,23,RS,1,1017700,1700,1700,6734,2204
2007,3,22042100,17,275,SP,1,817800,1,11,11,2204
2007,10,22041090,17,249,RS,1,1017700,585,585,2324,2204
2007,6,22042100,17,249,RS,1,1017700,33463,87578,144844,2204
2007,11,22041090,17,249,RS,0,717700,1780,1780,9463,2204
2007,4,22042100,17,251,RS,1,1010500,1080,2097,4916,2204
2007,5,22042100,17,800,SP,1,817800,11,11,11,2204
2007,10,22042100,17,586,SC,9,145300,2376,2376,2610,2204
2007,5,22042900,17,399,RS,1,1010500,210,1475,4935,2204
2007,5,22042100,17,586,SP,7,910600,2400,3800,1960,2204
2007,10,22042900,17,586,PR,7,145300,2048,2048,1347,2204
2007,2,22041010,17,87,RS,1,817800,540,540,2304,2204
2007,2,22042100,17,249,RS,1,1010500,25452,36238,61079,2204
2007,9,22042100,17,628,RS,1,1017700,18009,29948,37352,2204
2007,9,22041010,17,160,RS,1,817800,228,228,1152,2204
2007,6,22042900,17,399,SP,1,1017700,22168,22000,20079,2204
2007,6,22043000,17,169,RS,1,1017700,3038,26973,37864,2204
2007,11,22042100,17,628,PE,1,317600,11880,11880,42240,2204
2007,8,22042900,17,399,SP,1,1017700,22168,22000,20509,2204
2007,4,22042100,17,399,RS,1,1010500,12300,12300,12971,2204
2007,4,22043000,17,586,PR,9,910651,801,6119,3699,2204
2007,1,22043000,17,586,PR,9,910651,242,2560,1403,2204
2007,12,22042900,17,586,SC,7,145300,14600,14612,7296,2204
2007,3,22042100,17,580,SP,1,817800,70,630,770,2204
2007,11,22042100,17,586,RS,7,910600,139320,139320,89106,2204
2007,10,22042100,17,586,PR,7,145300,1160,10199,10583,2204
2007,10,22042100,17,741,RS,1,1017700,720,1306,3514,2204
2007,5,22042100,17,586,PR,7,145300,1641,16790,13287,2204
2007,5,22042100,17,249,RS,0,717700,1049,1941,5481,2204
2007,8,22041090,17,586,RS,7,910600,45,45,269,2204
2007,5,22041090,17,249,RS,0,717700,1800,1800,9603,2204
2007,9,22042100,17,586,SC,7,145300,3218,3692,3748,2204
2007,2,22042900,17,399,RS,1,1010500,42000,42000,32550,2204
2007,2,22042900,17,586,PR,7,145300,10465,10465,8236,2204
2007,2,22042100,17,47,SP,1,817800,2640,2640,2338,2204
2007,9,22042100,17,249,RS,0,817600,477,1016,3752,2204
2007,6,22043000,17,586,PR,9,910651,843,5746,3708,2204
2007,7,22042900,17,586,PR,9,145300,600,2730,2393,2204
2007,1,22041090,17,249,RS,0,817600,1260,1260,5603,2204
2007,11,22041010,17,741,RS,1,1017700,45,99,306,2204
2007,4,22041010,17,23,RS,1,1010500,300,1344,5850,2204
2007,11,22042100,17,586,SC,7,145300,3602,4055,3832,2204
2007,7,22042100,17,607,PE,1,417800,9900,9900,19800,2204
2007,3,22041010,17,232,RS,1,817800,90,197,406,2204
2007,4,22041090,17,249,RS,0,717700,872,872,4947,2204
2007,8,22042100,17,161,PR,1,917800,1250,6377,11214,2204
2007,9,22042100,17,607,PE,1,417800,19800,19800,39600,2204
2007,2,22042100,17,149,RS,1,817800,675,1186,5919,2204
2007,6,22042100,17,676,RS,1,1017700,40800,40800,26520,2204
2007,9,22042100,17,445,RS,1,817800,551,785,2033,2204
2007,4,22042900,17,399,RS,1,1010500,23400,23400,16818,2204
2007,3,22042100,17,249,RS,1,1010500,3570,31080,41560,2204
2007,10,22042100,17,239,SP,1,817800,2700,2700,3585,2204
2007,5,22042900,17,586,SC,7,145300,11650,11650,5326,2204
2007,11,22042100,17,386,PE,1,417800,7200,7200,19800,2204
2007,11,22041090,17,249,RS,1,1017700,135,226,1149,2204
2007,8,22041090,17,647,RS,1,1017700,5,23,83,2204
2007,4,22042900,17,586,SC,7,145300,9436,9436,4101,2204
2007,8,22041010,17,40,ND,4,717700,10,42,6189,2204
2007,8,22042100,17,770,RS,1,817800,252,1700,3003,2204
2007,8,22041010,17,647,RS,1,1017700,10,45,190,2204
2007,5,22042100,17,23,SP,1,817800,100,1058,3742,2204
2007,10,22042100,17,586,RS,7,910600,396,396,821,2204
2007,10,22042100,17,69,RS,1,1017700,10,60,281,2204
2007,9,22042100,17,47,SP,1,817800,5214,5214,5550,2204
2007,11,22042100,17,493,RS,1,920600,2453,2453,15425,2204
2007,7,22042100,17,741,RS,1,1017700,401,893,3810,2204
2007,9,22041010,17,586,PR,7,145300,100,732,1450,2204
2007,7,22043000,17,586,PR,9,910651,759,7062,5093,2204
2007,1,22042900,17,399,RS,1,1010500,42197,42197,23868,2204
2007,11,22042100,17,741,RS,1,1017700,2700,5071,10540,2204
2007,1,22042100,17,149,RS,1,817800,675,1186,5919,2204
2007,12,22042900,17,399,RS,1,1017700,1200,772,1500,2204
2007,11,22042100,17,586,PR,7,145300,1280,9617,9381,2204
2007,8,22041090,17,791,RS,1,1017700,225,494,870,2204
2007,12,22042900,17,23,RS,1,1017700,1382,1411,4668,2204
2007,12,22042100,17,586,RS,7,910600,98520,98520,63256,2204
2007,4,22041090,17,399,RS,1,1010500,135,135,477,2204
2007,8,22041090,17,399,RS,1,1017700,675,675,2400,2204
2007,1,22043000,17,40,RS,1,920600,160,10425,10021,2204
2007,8,22042900,17,586,RS,7,910600,7130,7130,3497,2204
2007,2,22042100,17,791,RS,1,1010500,27766,32078,51132,2204
2007,6,22042100,17,586,RS,7,910600,116040,116040,58120,2204
2007,9,22042100,17,160,RS,1,817800,78,78,150,2204
2007,6,22041010,17,249,RS,1,1017700,1980,5922,10123,2204
2007,12,22043000,17,586,PR,9,910651,2595,18478,13888,2204
2007,12,22042100,17,791,RS,1,1017700,656,4589,19734,2204
2007,11,22042100,17,249,RS,1,1017700,7983,27034,72123,2204
2007,12,22041090,17,23,RS,1,1017700,135,229,522,2204
2007,10,22042100,17,23,RS,1,1017700,4500,8738,20515,2204
2007,10,22042900,17,586,SC,7,145300,9535,9555,4751,2204
2007,11,22041010,17,493,RS,1,920600,248,248,1575,2204
2007,12,22042900,17,607,PE,1,417800,49830,49634,35878,2204
2007,11,22042100,17,40,RJ,1,717600,2513,2513,3920,2204
2007,12,22042100,17,607,PE,1,417800,9902,9940,30404,2204
2007,10,22042100,17,586,SP,7,910600,313,313,380,2204
